Profile_Name,Rating_Star,Headings,Base_Reviews,category
Tonie Daly,1.0 out of 5 stars,Trick Purchase,"Easy to download the application no  problem. Was required to purchase any shows and or have a cable / satellite provider.  Not having cable / satellite is the reason we have the Fire Stick.  Got excited, then shot down and bummed out.  Found something else to watch.",issue
Amazon Customer,4.0 out of 5 stars,Four Stars,Is very good that tell me why I need to know about cook,user_experience
10 star,5.0 out of 5 stars,best app ever,I love this app and everyone need the s app because everyone should try new things.,user_experience
chandra huber,5.0 out of 5 stars,yummy,"I have always liked the food network,many many awesome recipes and awesome chefs.",user_experience
PETE,4.0 out of 5 stars,Four Stars,I like the fact that it has many chefs to choose from.,user_experience
Big Jim,5.0 out of 5 stars,Great channel,Great easy to use channel,user_experience
steve mitchell,5.0 out of 5 stars,very handy,It's like having the show in my pocket,user_experience
Nonna,1.0 out of 5 stars,I feel sad,I love Food network and Food network magazine but I could never get this to work for me. It kept saying I needed an internet connection even though I was on the internet.,issue
Marcy L Marpes,5.0 out of 5 stars,fantastic,You make it so easy to find new recipes to try and to find them later,user_experience
Deborah,5.0 out of 5 stars,what a help.,I love this app! The recipes are easy to follow and my family loves them....especially the meat and dessert dishes!!!,user_experience
james,5.0 out of 5 stars,love it,"Works well for me, easy to use just wish you could look up specifically recipes for the chefs under their names",user_experience
Ana,4.0 out of 5 stars,I recommend.,Enjoyed watching.,user_experience
gwen bear,4.0 out of 5 stars,Four Stars,Great recipes. Excellant videos.,user_experience
Gert,4.0 out of 5 stars,looks good,"Just  a quick perusal so far, but looks good.",user_experience
sli,4.0 out of 5 stars,great app!,"This app is great and very helpful overall, although I agree with the person below me that there should be pictures for every recipe.",user_experience
Deborah Bowerman,5.0 out of 5 stars,great,It's my go to for ideas,other_information
tom ravo,5.0 out of 5 stars,What I order is what I get,EverythingÃ¢â¬â¢s great,user_experience
Alisha,1.0 out of 5 stars,Already deleted it,"The app just closes whenever I try to pic a chef. There's nowhere for me to log in to personalize my stuff. I thought it was a good recipe app but all I got was a box that says ""The kitchen has stopped"" whenever I try to do anything.",issue
barb rowell,4.0 out of 5 stars,food network,Would love it if more pictures would show up but I have already made 3 of the recipes from here and they turned out awesome  with the barbecue chicken pizza I did grill the chicken instead of bake it  but still excellent,user_experience
Clyde,4.0 out of 5 stars,Pictures,"Love this app. Would like to see more photos. As a single man, presenting an good appetizing presentation for a date is important.",user_experience
James F. Schmid,3.0 out of 5 stars,I thought that it was going to be like going into the Food Network on their website.,"I was disappointed that all chefs were not available.  And also, not enough recipes.  I like the farmer lady  that cooks the best.",issue
Tina Labutka,5.0 out of 5 stars,great app.,Good selection of recipes,user_experience
Joyce Lindner,5.0 out of 5 stars,Easy way to look up recipes,"If you are a Food Network fan, than this app is for you. Easy to use and features all the popular chefs recipes.",user_experience
Jeanne Vignau,5.0 out of 5 stars,Everything but the kitchen sink.,All my favorite chefs are there. Just reading the recipes gives me a lot of great ideas.,user_experience
Brian Fipps,1.0 out of 5 stars,bad,does not work,user_experience
L,4.0 out of 5 stars,many recipes,there is a great variety of tasty recipes to choose from. The only thing is that the text is rather small even with the zoom setting.  There are some really good recipes and many easy to make.  If you like to cook or if you are looking for something new to make you will enjoy this,user_experience
Barry,1.0 out of 5 stars,Bait and Switch!,This supposedly came free for a year with a Amazon Firestick......if you donÃ¢â¬â¢t immediately sign up for your free year as soon as you plug in the Firestick you will not get your free year... Real bait and switch tactic !!!,user_experience
Constance S.,5.0 out of 5 stars,great for cooks,I bought my kindle to use for cooking and I have had so much fun with it and this app. I have tried many of the recipes and All of them have been great.  I check this app every Saturday morning while watching food network to figure out dinner. I love it. Try it you will like it. My only change would be to let you search under the chef for their recipes only. Now it searches all recipes.,user_experience
M. Schafer,5.0 out of 5 stars,love that Trish Yearwood is featured,"Just what I wanted, love that Trish Yearwood is featured.",user_experience
Rhonda Porter,1.0 out of 5 stars,Tried multiple times to order this product unsuccessfully.,"What the crap? - Tried several times to order this up for our Fire Stick, but was given a migraine headache instead. Gave up and won't try again.... Move'n on...",user_experience
William Cunningham,2.0 out of 5 stars,ItÃ¢â¬â¢s okay but there are other options,"So far itÃ¢â¬â¢s kinda meh. The app is a little kludgy, does not feel like an app from a mature company. Hopefully it will improve with time and development.",user_experience
Robert Stone,5.0 out of 5 stars,Five Stars,great,user_experience
hevans,5.0 out of 5 stars,Love this app!,"Easy to use, I have never had a problem finding a recipe.  Love how they tell you if they are easy, intermediate or difficult.",user_experience
Michael,5.0 out of 5 stars,Favorite channel,Favorite channel,user_experience
usnveteran,4.0 out of 5 stars,Words and Videos - a great combination.,"Excellent recipes, but would like to see videos that shows the chef preparing the dish.",user_experience
Amazon Customer,5.0 out of 5 stars,Five Stars,Great choice of recipes from some fabulous chefs!,user_experience
Sandra Baker,3.0 out of 5 stars,ok,Would have liked to see Paula Deen as one of the cooks. That it was unfair that she was removed and have not renewed my subscription nor ever will. Feel the magazine was hypocritical.The actual program was good and easy to find recipes.,user_experience
Felix Ortiz,5.0 out of 5 stars,Cooking App 1yr free..,Got a year subscription free when I bought my Amazon FireTv  4K Stick. My son is addicted to cooking and baking so we use it often. Great for everyone,user_experience
Mark One,4.0 out of 5 stars,my go-to recipe app,I use this a lot. My starting place for recipes.,user_experience
"Jean A. W,",4.0 out of 5 stars,Four Stars,GOOD,other_information
Ryan T. Brown,5.0 out of 5 stars,Five Stars,Healthy cooking,user_experience
Sherry L,5.0 out of 5 stars,Best food and recipe app out there.,Love it,user_experience
B . Rosario,2.0 out of 5 stars,Download was easy,It wasn't work for me,issue
jorge,4.0 out of 5 stars,Boring,Boring,user_experience
kim,4.0 out of 5 stars,nice to brouse,So far I have found many recipes I plan on making.  I love the food network ame it many products and shows,user_experience
CTAL,5.0 out of 5 stars,If youÃ¢â¬â¢re  a Foodie youÃ¢â¬â¢ll love it,IÃ¢â¬â¢ve been watching it and doingFor Years with the Food Network I love the recipes you can find just about anything you want I havenÃ¢â¬â¢t run into anything that I havenÃ¢â¬â¢t been able to cook watching it on the Through Prime Video is so much more personalized you guys will love it for those who love to cookÃ¢ï¿½Â£Ã¯Â¸ï¿½,user_experience
clifford whitman,5.0 out of 5 stars,Five Stars,"Cool beans :-), love it",user_experience
A. Ninja,5.0 out of 5 stars,great,This app is great,user_experience
kjk,5.0 out of 5 stars,Quick way recipes,Great to get quick and easy recipes to plan dinner,user_experience
Jules,1.0 out of 5 stars,Wouldn't download,Love Food Network but app would not download on my Amazon Fire tablet.,user_experience
Sharon,4.0 out of 5 stars,Four Stars,Love food network,user_experience
Beth Zagryn,4.0 out of 5 stars,Great variety,"So many different recipes, easy to follow.  Can't wait to try some more recipes and get out of the rut of cooking the same thing.  Love this app.",user_experience
carmindr,3.0 out of 5 stars,Ok app if you want to spend lots of time searching.,"This app is ok. I thought it would be fab but I have been a bit disappointed with it. I just want to be able to find good recipes easy to make. I don't feel picking a chef, and doing all that is necessary. It's a bit of a waste of time.",issue
Zach Dietz,1.0 out of 5 stars,Keeps Crashing,App keeps crashing and won't let me view a single recipe. Needs more work to be done to compare it to the apple app.,issue
april,5.0 out of 5 stars,Great app,Woo boo!  I just cooked the best supper in my life with help from this app.  Thank you good network.,user_experience
Shannon D,1.0 out of 5 stars,Read the permissions this thing wants - omg!,"This app was free today, but that price doesn't make up for the insane permissions this app wants.  Why on EARTH would it need to be able to create accounts on my device???!?  I chose not to install it for that reason.",feature
C Zhang,1.0 out of 5 stars,Have to pay for subscription,Why bother creating an app with pre-recorded contents that requires subscription. Youtube has a lot more pro cooking videos and they are free. Uninstalled!,feature
RLH,1.0 out of 5 stars,The app does not work. After many tries with ...,"The app does not work for me.  After many tries with no luck, I had to delete it.",feature
Pam Hawkins,4.0 out of 5 stars,love,love it!!l,user_experience
Sashel Hinds,5.0 out of 5 stars,great app,It's so convenient to have all these recipes at my fingertips!,user_experience
Linds,5.0 out of 5 stars,Great Channel.,I love the Food Network.,user_experience
Kev,5.0 out of 5 stars,Fabulous App!,This app usually has everything I'm looking to make and always comes out fantastically! I only wish they had more variety.,user_experience
Mya,1.0 out of 5 stars,Doesn't work well.,It kept crashing and freezing up my kindle. Had to uninstall.,feature
Infinite Fields,5.0 out of 5 stars,Good channel,Works good,user_experience
Patricia Kondash,5.0 out of 5 stars,Five Stars,I love the food network.,user_experience
Sophie W,5.0 out of 5 stars,Trisha Yearwood is the best!,Love all of her recipes. Simple ingredients and recipes very easy to  follow! So simple and delicious.  Love the details.,user_experience
Monica aka MoniLov,5.0 out of 5 stars,good,GoodI love the app,user_experience
Kathy Mc,5.0 out of 5 stars,Love it.,"I like this app because I can look for a recipe, know how easy it is to make, what it is rated, and I can bring my kindle in the kitchen to use the recipe and I don't have to print it out.  It can also be saved to your recipe box for future use.",user_experience
RainNJ,4.0 out of 5 stars,Love this app,My favorite food app.  i use the search recipes the most.  Love that it has pics and easy to follow directions,user_experience
Leonard L. Miller,5.0 out of 5 stars,Great recipes!,Like learning new ways to cook and saving recipes.,user_experience
Kindle Customer,4.0 out of 5 stars,Smart investment.,"The app has good information, good techniques and overall doesn't talk down to the home cook.  The how-to's are one of the best features.  Just knowing how to cut up an onion or knowing the right way to measure are tools that give a new cook the confidence to tackle recipes that look great on paper but look like food from outer space on a plate.",user_experience
D. Rucker,2.0 out of 5 stars,Not what I wanted,The network chefs I really like are not presented.,user_experience
tonya hua,1.0 out of 5 stars,Not free,I down loaded this app..only to find you have to pay ..no thanks.,user_experience
barbara holland,5.0 out of 5 stars,the best,"The best thing sense sliced bread . I Love it ,haven't had this app. Long,But I've  found I use it all the time.  THANK S. FN",user_experience
Artoollious,4.0 out of 5 stars,Sure beats a printer.,I have always wanted a way to get Food Network recipes in my kitchen without having to either print them off or carry my desktop computer into the kitchen. I like this app a lot. I wish you could delete entire chefs if you weren't interested in them.,user_experience
judy hayes,4.0 out of 5 stars,Four Stars,nice to be able to look at videos and see the recipes by my favorite cooks.,user_experience
jan kevin gonzales,4.0 out of 5 stars,good app,"it gave me tips for cooking whenever i need it..also, the recipes were great and some of them were the ones used in iron chef america.. 4 stars!!!",user_experience
Steven H. Bowens,1.0 out of 5 stars,not good,This is the first app I have purchased that wouldn't work. Kept indicating that I was not connect to wi fi. I do not recommend this app.,issue
Cindy Vargas,5.0 out of 5 stars,Five Stars,Love it and everything FOOD NETWORK!,user_experience
Kimberly Russell,5.0 out of 5 stars,I Love Food Network,"I love the access to shows, recipes, and food network information.  My only dislike is not having access to my favorite Food Network Show "" CHOPPED "" I honestly signed up for that show because it's 1 of my favorites.  Fortunately, I have a few favorite shows and I still enjoy this network channel.",user_experience
Marja Crowe,4.0 out of 5 stars,not bad,Good place to keep track of favorite recipes,user_experience
Jennifer Sims,3.0 out of 5 stars,New Recipes,It would be nice if this site was updated with recipes from the current shows.,user_experience
Christina Gonzalez,5.0 out of 5 stars,Love it.,I've used two recipes so far and so far so good. Quick recipe guide at your fingertips.,user_experience
Bob & Diane K,2.0 out of 5 stars,Not worth my time,Not great content,user_experience
mark,5.0 out of 5 stars,Perfect,Great ideas for dinners . I have a large family and it gets hard to com up with ideas,user_experience
rosey,5.0 out of 5 stars,best app ever,Everything worked perfectly it has awesome recipes,user_experience
steven m. grotevant,5.0 out of 5 stars,Love this app,"I love that not only can I watch Food Network but now having the app is,fantastic",user_experience
Jamie White,5.0 out of 5 stars,Love Food Network,Love watching Food Network so this is an added bonus.,user_experience
ErinRR,4.0 out of 5 stars,"quick, easy to use recipes from my favorite chefs",This is a nice little app for quickly finding recipes from Food Networks most popular chefs. Most include photos. The app is easy to use and if you log in to your FN account you can save recipes. The only thing missing is Paula Deen.,user_experience
R. Shoup,1.0 out of 5 stars,"Terrible, frustrating app","The food network kitchen app for android works fine.  The fire tv app is terrible. It's difficult to see what on the screen is highlighted.  Saved classes don't show up in your profile, like they do in android.  And trying to play classes can result in ""Oops. Something went wrong"".",issue
bob,3.0 out of 5 stars,good for beginners,"It's a good start for some of us who would like cook like chefs it also gives us the opportunity to try out those recipes, nice app",user_experience
Nancy Klunder,2.0 out of 5 stars,In the kitchen,In the kitchen with the Chefs keeps going off and won't work for me .  VERY FRUSTRATING!!!! Why is it going off? help,issue
CeeCee,5.0 out of 5 stars,love to cook,"I love to cook! Always willing to learn something new. This app is creative enough for those of us that have cooked for years, yet easy enough for my girls to follow directions and their learning to cook great meals. Highly recommended no matter how much time you spend in the kitchen.",user_experience
joe ann hines,5.0 out of 5 stars,four star,I have impressed my guests with my dishes...thank you  Food Network,user_experience
wendyirp,5.0 out of 5 stars,5 stars,I love this app. The recipes and videos are great. I was able to find some of my old favorite recipes from years ago. I especially love that Alton Brown is included. He's one of my favorite chefs. I just love how he combines cooking and science!,user_experience
jennifer,5.0 out of 5 stars,Love it. Made many a recipes with this app,Very helpful app.  Love it.  Made many a recipes with this app.,user_experience
Matt Parten,5.0 out of 5 stars,Access to helpful recipes and meal ideas,I'm always looking for fresh meal ideas since it's very easy to fall into the rut of rotating the same meals endlessly.  I'm also a big fan of Good Eats and Restaurant Impossible and I really like the fact that I can pick a season and individual episodes to watch.  I'm looking forward to being able to watch full episodes of Pioneer Woman and other shows I haven't watched yet.,user_experience
Melinda Dinsmore,4.0 out of 5 stars,Good app to have,Lots of great recipes.  It is a great app.  You can shop for ingredients for recipes right on it phone.,user_experience
J. Stauffer,5.0 out of 5 stars,it is free..,The recipes are free If yours a member of Amazon prime and cloud.if not it's 1.99 for recipes. It's as ok but the chefs in the kitchen section will not work. The chefs comments r blocked..but the r e soothe recipes are free.,user_experience
Bryan Edman,5.0 out of 5 stars,Great App!!,"Love the recipes, photos and tips!!!! This is a wonderful app for any person who loves to cook or eat good food.",user_experience
Kindle Customer,5.0 out of 5 stars,Five Stars,Very Cool!!,user_experience
Terry Denton,5.0 out of 5 stars,One of the best ways to find new ways to cook old foods ...,One of the best ways to find new ways to cook old foods not to say find new ways to make others smile,user_experience
Sawyer,5.0 out of 5 stars,perfect. it's like a chef in your house,I love this app. Soo many different ways to make the same meal and each one has its own unique flavor. I can't wait to try them all. This app makes me look good at the kitchen table,user_experience
bethanie delfunt,5.0 out of 5 stars,Great App!,Great app for finding your favorite chef's recipes! Create your own recipe box and shopping list too :),user_experience
Judy Cline,5.0 out of 5 stars,always  helpful,There is always something my favorite chef  shares. Recipes are helpful when I don't know what to make for dinner.,user_experience
Laura Russell,5.0 out of 5 stars,great App,I like it's so easy to use in the kitchen while we're cooking thank you.,user_experience
joan tardiff,1.0 out of 5 stars,Useless app for me,I can't for the life of me to unlock 90% of the app even though I have a free trial from prime. Hummm guess I'll delete it and continue to use youtube,feature
Kimberly Moore,5.0 out of 5 stars,love it,I love to cook. This app has such amazing recipes and amazing chefs. Some I like better than others so it's nice that I can choose just to see their recipes,user_experience
shauna,5.0 out of 5 stars,awesome!!!,Great app organized by your favorite chefs with easy to use search options... a must in the kitchen! Very easy to use.,user_experience
Amazon Customer,3.0 out of 5 stars,"too bad, so sad",i was so excited about app. very disappointed it refuses to work with kindle. let me know when it does and I will happily reinstall,issue
sherry,4.0 out of 5 stars,would like to be able to have multiple folders for my ...,"would like to be able to have multiple folders for my recipes. at this time, it won't allow me to do this.",user_experience
mike wilson,5.0 out of 5 stars,Five Stars,Just a great app.,user_experience
Hillary,5.0 out of 5 stars,wonderful,THIS APP IS COOL. I ALWAYS HAVE A DINNER IDEA ON HAND AND THEY ARE REALLY YUMMY MY KIDS LOVE THEM.,user_experience
vince,5.0 out of 5 stars,No issues here!!,Outstanding!,user_experience
Kenneth Conner,1.0 out of 5 stars,I would give it a better rating if it worked,"Downloaded this App, the opening splash screen loads, giving way to the menu. Go to pick a chef, any chef, and it crashes.I really enjoy using my data plan to download stuff that just doesn't work.",issue
Vincent Dawson,4.0 out of 5 stars,Great app,"This app has a lot of recipes I want to try, especially since I don't cook much. I love trying new things.",user_experience
sleepless,4.0 out of 5 stars,food netwok,The food network cook book  looks like food I would cool for my family.  alot of cook books don't have things I wouldcook,user_experience
Red,4.0 out of 5 stars,My Go To Cooking App!!,"I use The Food Network App to search new recipes on a weekly basis!!I always find a great ""starter"" recipe, and make it my own!Today I will be using Guy Fieri recipe, and adding a little touch of ""Red!""",user_experience
gamelady,1.0 out of 5 stars,Never works,"Very unhappy with this app. Every time I try to open a chef site a notation pops up telling me the kitchen has stopped. Useless, a waste of time.",issue
RICKENATER,3.0 out of 5 stars,Three Stars,Good,other_information
glenda bodemann,5.0 out of 5 stars,Great app,I like the recipes. App is easy to search for different items and new ideas to make. Great app to use.,user_experience
Billie,4.0 out of 5 stars,Better Than I Thought...,"It's great and in my opinion it's better than AllRecipes. Quick and easy recipes ready at your finger tips, which is great for me since I have two little ones.",user_experience
c. adams,5.0 out of 5 stars,love it!!,It has ALTON BROWN!!! Love it,user_experience
Sharleen Ho-Tong,4.0 out of 5 stars,happy user!,Helped me with the planning of Thanksgiving dinner.,user_experience
Fairy Redding,5.0 out of 5 stars,Five Stars,"Love food network,use it all the time",user_experience
Michele Campbell,5.0 out of 5 stars,Love this!!!,Great recipes!!!  Easy to follow and make.  I highly recommend this if you are a Food Network fan and like to cook.,user_experience
mona giessen,3.0 out of 5 stars,chopped,Need to show old episode of chopped on this site,user_experience
T. Weber,2.0 out of 5 stars,"Same Old, same old","Some of the classic shows are nice to revisit but the new stuff is speaking to an audience of novices. Nothing for a ""well seasoned"" cook.",user_experience
Amazon Customer,1.0 out of 5 stars,One Star,Does nothing but force close,issue
Eric C.,3.0 out of 5 stars,Nice add on for the Network,"This app is handy if your a fan of the Network or even just a fan of cooking. the features are a nice mix, surprised there isn't a shopping connection though. <Hint Hint>",user_experience
Kindle Customer,5.0 out of 5 stars,Great network!!,I love this network and the magazine! It is so enjoyable learning new recipes and making them and people rant and rave how good it is!,user_experience
Kindle Customer,4.0 out of 5 stars,nutrition,The nutrition values on all recipes would be nice.  Especially for diabetics.  There are hidden sugars lurking every where. Just saying.,user_experience
Amazon Customer,5.0 out of 5 stars,HELPFUL,"Very good app, helps when i see somethong on tv i want to cook & don't have time to write it down . Thanks.II",user_experience
cherie overholtzer,5.0 out of 5 stars,easy to make dinners,Great way to find recipes,user_experience
D. Adams,4.0 out of 5 stars,Four Stars,happy from pp,user_experience
DCarl,5.0 out of 5 stars,good app for frequent home meals,Great for cooks who need to check recipes often. I use this app about 3 times a week.,user_experience
Losfirstduty,5.0 out of 5 stars,User Friendly App,Basic App to use.  No issues logging and staying connected to the service.  Navigation is smooth and designed for easy movement with Fire Stick.,user_experience
Harrij,5.0 out of 5 stars,GREAT!!,Very versatile and has about any recipe you are looking for....love the categories of recipes available within this app. Definitely worth the money!,user_experience
Pat,5.0 out of 5 stars,My Favorite Chefs,I like being able to check out the recipes of my favorite chefs on the Food Network. They make it look so easy.,user_experience
bound4all,1.0 out of 5 stars,"As much as I like the Food Network, the number of unnecessary, information seeking permissions.....","Add that to no pictures, the limited access to recipes, makes this app unworthy to be associated with the Food Network.",issue
Amazon Customer,5.0 out of 5 stars,Five Stars,Nice to be able to find recipespecially easily,user_experience
Marty Caudill,5.0 out of 5 stars,ok,Outstanding!,user_experience
Dani P.,1.0 out of 5 stars,please fix,The app will open and you click on anything it shuts right down with an error message. I'm so disappointed!,issue
K. Berg,2.0 out of 5 stars,Recipe Box?,I found a number of recipes I would like to save but when I try to add to the recipe box it will not add. I have it on my Kindle Fire HD and I see from other reviews that this should not be a problem.,issue
monkeywitagun,5.0 out of 5 stars,love it!!!,It's really easy to follow. I haven't had any problems with the app. I love the fact the app gives u different options to search for recipes.,user_experience
Nikel Dixon,5.0 out of 5 stars,Nice,Nice,other_information
tndawg,5.0 out of 5 stars,Best Food App!!!,This is by far the best food app out there. Recipes from the chefs of Food Network make this app a real keeper. Great photos of the food. A favorites feature for the ones you want to save. Must log in to the Food network for some features but that`s O.K. Well worth it.,user_experience
Madeline Ruth,5.0 out of 5 stars,Five Stars,Love this app.,user_experience
Jane,1.0 out of 5 stars,Not enough.,It's okay if you are looking to sample food network shows. However if you are looking for full seasons and new shows/ episodes it's not as fulfilling.,issue
Kindle Customer,4.0 out of 5 stars,lots of fun,I really enjoy this app.!  There are hundreds of recipes for every experience level.  You can find almost anything that you need right here.,user_experience
D. Michael Moore,1.0 out of 5 stars,Old programming,Seems everything is old and you can't find the programs you want to watch easily. They are sharing the oldest or lowest rated programs and holding the good stuff back.,issue
Sandy,5.0 out of 5 stars,Great!,"I love food network, but we no longer get it on our tv, so having the app. is wonderful, thanks for offering it!",user_experience
Wesley R Brown,5.0 out of 5 stars,Easy to use with great recipes,This has easy to use instructions with nice pictures. I have always been able too find a good meal here.,user_experience
Amazon Customer,5.0 out of 5 stars,Very convenient to use,"It's very convenient to be able to look up recipes on my tablet while I'm in the kitchen, instead of having to go to my desktop computer to get the information. I don't have a laptop.",user_experience
Lillyan8993,5.0 out of 5 stars,Food Network,The Food Network app is a very good app. This app helped me find a recipe I couldn't find very fast so I would recommend this to people who have a hard time looking for recipes.,user_experience
Cfarrell,4.0 out of 5 stars,helpful,Helpful,user_experience
Explorerdude,4.0 out of 5 stars,Easy and fun,"Could use more, but what couldn't? It's easy though and always fun to  use. I miss Paula!! More Ree please!",user_experience
Grandma in Illinois,4.0 out of 5 stars,SPECIFIC RECIPES,"YOU NEED TO KNOW EXACT NAME OF RECIPE TO LOOK UP, SUCH AS AUNT BEE'S CHICKEN CASSEROLE.",user_experience
Brady Kingrey,4.0 out of 5 stars,decent,"solid application, love it ",user_experience
Lourdes,5.0 out of 5 stars,2 people found this helpful,Outstanding!,user_experience
skicatcher,1.0 out of 5 stars,non ,Hard to navigate and slow to load. Did jot like this app at all. Not reccomended to anyone who wants an app that works.,issue
Stephen Debold,5.0 out of 5 stars,Great app,"Like the Food Network, not much of a cook personally so wanted to use it for recipes. Used it first day I downloaded and was a great surprise",user_experience
Kindle Customer,5.0 out of 5 stars,recipes whenever where ever,It's great to be able to access the recipes from FoodNetwork.com on my fire tablet. You can also see new ones and watch how to videos. Look up a recipe when you need something quick and you want something you haven't tried yet.Love it.,user_experience
pia,5.0 out of 5 stars,love it,Use this app a lot..love it..could use more photos,user_experience
Elizabeth Perez,5.0 out of 5 stars,Love a good recipe!,Haven't tried any recipes yet but they look great! Will try alot soon. I love learning & trying new things so I will definitely put most to use.,user_experience
Michael A. Leyva,5.0 out of 5 stars,Never run out of new recipes!,I watch this channel a lot. This app allows me to find recipes of just about any kind with reviews included.,user_experience
Georgette  Burress,5.0 out of 5 stars,but I like this,"I've been getting the food magazine, but I like this more",user_experience
Patty,5.0 out of 5 stars,Love!,"Easy app!  So glad I found it!  Thank you!Many choices, different cooking levels.  Shopping list makes it even better!",user_experience
JFish,5.0 out of 5 stars,Easy to find recipes with easy to find ingredients,I have used this apparent times on my Kindle Fire to find d a recipe for a specific dish or when I have an ingredient like chicken that I want a recipe for. The app is easy to use a n d I like that I generally have the ingredients o n hand. Very useful!,user_experience
billyfan,5.0 out of 5 stars,Awesome!,Great receipts and easy to follow!,user_experience
Maria G.,5.0 out of 5 stars,Five Stars,Have enjoyed making many recipes for us and friends. Keep up the good work. REE,user_experience
sgenyk,5.0 out of 5 stars,Great recipes,This app has a great list of wonderful recipes,user_experience
Sunshine,5.0 out of 5 stars,Five Stars,Great app... So far so good,user_experience
llisa,3.0 out of 5 stars,Three Stars,No easy search option. Otherwise very useful.,user_experience
ML,5.0 out of 5 stars,Five Stars,Enjoy looking at recipes and I print out many of them.,user_experience
Pamm McLaughlan,3.0 out of 5 stars,Three Stars,It is not so user friendly,user_experience
Judy Calloway,4.0 out of 5 stars,via la difference!,I like the different recipes from various cooks.,user_experience
klimintineAmazon Customer,5.0 out of 5 stars,"Choices, choices","What to fix, how to fix it and everyone is going to love whatever we choose. Fun to scroll through options and your favorite Culinary Artist to choose then create ""THERE"" work of Art. Wondering all along do I ""measure up""? Nice",user_experience
Mary Brown,3.0 out of 5 stars,Three Stars,Like informative,other_information
Amazon Customer,5.0 out of 5 stars,Five Stars,Excellent,user_experience
rivera,4.0 out of 5 stars,food lover,"I love this app I haven't had any problems with it, its so easy to find the recipes you need and save them to the recipe box.",user_experience
gloria,1.0 out of 5 stars,Awful app,THIS APP IS AWFUL. EVERY TIME YOU GO TO LOOK AT THE RECIPE THE Kitchen stops  and kicks you out.,issue
Amazon Customer,3.0 out of 5 stars,Not enough recipes,I was disappointed there wasn't more recipes on the site.,issue
tracey graff,5.0 out of 5 stars,Five Stars,"Love the food network, has amazing recipes on there. I have already tried a few.",user_experience
HFulmer,5.0 out of 5 stars,A great recipe box,"A great recipe finder.  If anyone wants to know how to cook anything to eat, this is for you.  Both of us love to read/cook/eat, as evidenced by our weight, and this is the one that is most convenient to use.  It's very handy when you're getting the ingredients together.",user_experience
Amazon Customer,3.0 out of 5 stars,Three Stars,Okay,other_information
rose,3.0 out of 5 stars,love the app but....,I wish u could go back to where u were in the recipe list after u add one to ur recipe box. Other than that it's a great app on my kindle fire hd especially while I'm cooking.  Has everything seen on the tv shows.  Will change rating if and when there is an update,user_experience
Joyce,5.0 out of 5 stars,Five Stars,Love it.,user_experience
Gerardo Ramirez,5.0 out of 5 stars,Five Stars,Good and Outstanding,user_experience
Pamela Miller,5.0 out of 5 stars,Easy,"Easy t o use,most items in cupboards,easy to follow recipe . Kids love the taste of what you prepare for them.",user_experience
Tony,5.0 out of 5 stars,Five Stars,Easy to use,user_experience
Christopher Warwick,4.0 out of 5 stars,Four Stars,Excellant app,user_experience
Brophy,4.0 out of 5 stars,So Far So Good,"I downloaded this app to my Kindle Fire.  I have only been using it for a few days but, for the most part, i am pleased with it. It is easy to use and lots of great recipes.  I like the fact that you can save a recipe to your 'Recipe Box' and it will create the shopping list for you.  No need to write everything down.  In order to save a recipe you have to first create an account with Food Network, but that is simple.The only complaint I have is when I find a recipe I like while searching on the Kindle I cannot save it to my Recipe Box.  When I try I receive an error message.  In order to save it I have to go to my computer and sign on to my Food Network account, search for the recipe and save it from there.",issue
Lucy,3.0 out of 5 stars,receipes,"I like this app, I am not the cook of the family but I like the sound of many of the receipes and can't wait to try them.",user_experience
Amazon Customer,5.0 out of 5 stars,Proof is in the pudding,So far I'm very pleased with the app. It's easy to navigate and the videos are easy to follow. Of course the proof is in the pudding. Am I going to get the results I expect from the recipes. I think we will since we have tried several from Alton Brown in the past and have enjoyed the results.,user_experience
Victoria,5.0 out of 5 stars,food network,Food network app works the best it's not slow on my kindle at all so yeah if you're reading this u should get this app,user_experience
Monica De La Rosa,2.0 out of 5 stars,Two Stars,the app Navigation system needs some more work. Not intuitive.,issue
Amazon Customer,1.0 out of 5 stars,bad,Could not pull up any recipes.  Glad I didn't pay for this. Would like to learn more recipes but apparently not with this.,issue
Blessed Reader,4.0 out of 5 stars,"Love the app. If your a food, please give it a bite!","Fun, food, and free. what's not to like?",user_experience
Aldene Chamberland,5.0 out of 5 stars,Five Stars,Helpful clear recipes to follow,user_experience
dylan,5.0 out of 5 stars,great app,great app,user_experience
Pippie,4.0 out of 5 stars,great app,I love this app but one thing is picture picture picture of some recipes. It would be nice to show some picture step by step,user_experience
BusyGirlKim,5.0 out of 5 stars,Get cooking some good food!,The Food Network app is very useful and helpful in locating recipes seen on the Food Network cooking shows. It has all the food seen on the shows for easy viewing on the app. This makes it easy to pick up needed ingredients to make the recipe when you get home. I would recommend this app. Enjoy!,user_experience
Esau R Flores,5.0 out of 5 stars,SOOO GOOD!!!,I love this app because when I look at the pictures my mouth gets watery and now I'm a better chef,user_experience
kathy triebl,5.0 out of 5 stars,Five Stars,I love everything she makes(5 stars)  I love watching her family grow up.,user_experience
nada,4.0 out of 5 stars,good app,Useful and easy to use,user_experience
Lynda-ann Hadley,4.0 out of 5 stars,cooks up a storm,"A very handy app , a lot of good new recipes and many old favourites. Quick to access ,and easy to use .",user_experience
