Profile_Name,Rating_Star,Headings,Base_Reviews,
Paula Mack,1.0 out of 5 stars,Terrible app,Removed,
Al D,5.0 out of 5 stars,Send a manual,Now that the printer is working the way it's supposed to I am very happy with the product it's an excellent piece of equipment I had to call to get it working properly though from the seller's or HP themselves my only problem was and might still be there was no owners manual that was shipped with the printer I feel there should have been more of a manual than a couple of pieces of paper with some pictures on it I think if I'd a had a manual I would have been able to get it working myself,
Doc D,5.0 out of 5 stars,Works well with my Samsung and wifi printer,Installed a year or so ago and use on my android phone with our wireless printer.  I use it quite often so I don't need to fire up the computer to print stuff off of.  Works well with my Samsung phone.,
Vanessa,5.0 out of 5 stars,Excellent app.,This app works very well  with my with my kindle fire HD 8 and my printer is a cannon. Excellent app.,
James Attebury,1.0 out of 5 stars,You didn't work,It didn't work,
Wilfred J Klotzback,5.0 out of 5 stars,Best ever,Probably one of the best apps I have ever found. It does everything it advertises and does it well. It's a snap to install and is not biased toward any single brand. Would that all apps were as friendly as this. Thanks Hammermill. I'll buy your paper.,
Gloria,5.0 out of 5 stars,Fast,Like ,
Jeffrey S Much,3.0 out of 5 stars,No de,No print driver for my printer so I went back to go e print.,
ldmitchell,4.0 out of 5 stars,Very easy and works,The easiest app I have found to print from my phone. I have a Canon printer and this was a lot easier than even the Canon app!  Couple selections and presses of a button and done! Very user friendly and works every time.,
Marvin W. Collier,5.0 out of 5 stars,Great App for Kindle,This printer app works well with my Kindle Fire HD 10.,
bmoorer,5.0 out of 5 stars,Five Stars,I can now print from my Kindle Fire.  Thank you Hammermill,
Amazon Customer,5.0 out of 5 stars,Finally!,"At last, I can print from my Fire HDX 8.9!  I was so disappointed when I couldn't get the Cannon app to work with my new Pixma printer.  Thanks to reviewers who mentioned the Fire HD and gave me reason to try this app.  I do get an error message, but not until it has finished printing.  No problem!",
EagleClawster,5.0 out of 5 stars,Did great....  No issues,"Did great on my laser printer, used over thousands already.",
Jerry Leone,4.0 out of 5 stars,This was the one recommended to me by Amazon,Needed an APP to print from my Kindle Fire HD.  This was the one recommended to me by Amazon.  So far (3 days) it has allowed me to do what I wish to do from the Kindle.,
Francis P. Syer,1.0 out of 5 stars,No printer list!,"Would not work with my Canon TS 9020. Paid for another app that also didn't work on my 7"" Kindle fire HDX. Not happy!!",
Ralph J. Sterba,5.0 out of 5 stars,Five Stars,Don't print much from my phone but it works.,
Bonniegirl,4.0 out of 5 stars,Easy,Easy to install.  Easy to use.,
A. D.,4.0 out of 5 stars,Prints in color on my color printer,"Put this on my kindle fire hd and hdx and it works great. I took off a star because the app only gives you limited printers to select from. If your printer is not on the list, the app gives you a generic driver to use. If this driver works, you can only print in black and white on a color printer. My work around was trial and error. I went down the list of printers made by the same company as mine and looked for ones with similar features.  I selected one of those printers and tried it out. I found one that does give me color printing. So, you may need to play around with this app to get what you want.",
gamer 1,5.0 out of 5 stars,#1 app for Kendles and Cannon printer,This is the only app that works for my printer and also freeðŸ˜�,
shortfuze,1.0 out of 5 stars,$4.99 for nothing!!,It said I needed to purchase another app for $4.99 in order to print anything and that didn't work either on my printer. What a scam!!!,
David L Corbett,1.0 out of 5 stars,No good,Dislikes,
Juan Fernando Salazar,5.0 out of 5 stars,Great App,Great App,
yg,4.0 out of 5 stars,works,After trying several apps that didn't work. I finally found one that works with my kindle fire and my canon printer. It is free also. I was able to print a .pdf and a picture so far and an email. I don't need to print often from my kindle fire but it is useful to be able to do it .,
Richard Bergeron,5.0 out of 5 stars,"Blackberry - Direct to Printer - no computer, no server, no cloud.  FREE. Perfect!","One of the ONLY truly FREE apps for printing from a Blackberry DIRECTLY to a printer. Needs no laptop or server software or cloud account! Direct To Printer! Love this app!  I use it at home and on the 3 printers at work (various manufacturers). Seamlessly! When it finds a printer it may ask you to download the driver pack - FREE. It's a small download, it's FREE, it installs immediately, and you are printing!  The only drawback I've found is my inability to print pdf files, but that may be a Blackberry issue or an Adobe issue.)",
Donald Winder,5.0 out of 5 stars,"I would have to say that this is a great product, unfortunately it did not work for me ...","I would have to say that this is a great product,unfortunately  it did not work for me because my printer was not listed and the generic driver did not work for me. But it was very easy to install and set up.",
Angela Ramos,1.0 out of 5 stars,You have to purchase for it to print,It did not connect to my Kindle Fire and apparently I had to purchase an upgrade for it to work. Very disappointing,
Teresa,5.0 out of 5 stars,THE BEST WIRELESS PRINTING APP!!!,"I have downloaded several app for my canon printer, including the Canon print app and none were able to locate my printer.  I downloaded this app and it found my printer immediately.  I am very pleased with the quality of the this app and great to be able to print from my tablet and not go into other room and wait for desktop to turn on.  I highly recommend this app for wireless printing!!",
Michael E. Alfes,3.0 out of 5 stars,"It prints files, but not GMAIL emails (Kindle Fire 2011)","I purchased this application for FREE for my Kindle Fire 2011 to print wirelessly on my HP Deskjet 2540 printer.I can print files located on the Kindle and Google Drive, but not my Gmail emails:always getting error message ""Authorization Failed or Network Error has occured"".",
Leta Singleton,5.0 out of 5 stars,Five Stars,Very helpful.,
Steve,1.0 out of 5 stars,Donâ€™t download,Waste of money,
Iron,4.0 out of 5 stars,Nice,"Great,but has some internal program problems like deleting and gets e-mails on it's own!?",
Sandra Kay Mitchell,5.0 out of 5 stars,Didn't know this was available. Amazon Mayday helped me ...,Didn't know this was available. Amazon Mayday helped me. I can now do things I didn't know I could do with this app. Thanks,
Larry O,5.0 out of 5 stars,Easy to install,Works great.,
Kindle Customer,5.0 out of 5 stars,Great generic printing app!!!,"I was not able to download UP printer app, so I tried Hammermill app.  It works great.",
Debbie,5.0 out of 5 stars,Love it,Love it,
Terri Randall,2.0 out of 5 stars,Two Stars,Worked when first down loaded but within a short time quit working...my be my problem on Kindle not sure.,
Mary,1.0 out of 5 stars,Doesn't work!,Doesn't work!. I tried to print recipes from Pinterest and it never worked. Don't bother with the app.,
Amazon Customer,5.0 out of 5 stars,Five Stars,Works great with my kindle fire,
Bishop-Caputo,1.0 out of 5 stars,Will not print to some Canon models,I thought this was finally going to be a great printing app for my kindle fire. It installed easy and picked up my Canon Wifi right away. Unfortunately it wouldn't print. It kept saying &#34;broken pipe&#34;.  I have a Canon MX452 and noticed the driver only says Canon mx45. There is no mx452 option:(,
Amazon Customer,1.0 out of 5 stars,Paula,"I like it, but it doesn't do what I need. I need to be able to save documents. Work on documents offline when my Internet is down.  I need to work on my documents when my Internet is up and running. So this doesn't do what I need. I am disappointed that I am going to have to uninstall this because I like it,but it doesn't do all I need.",feature
Dickinson.,4.0 out of 5 stars,"A good app, But...","While it's easy to use and user-friendly, it tends to crash frequently Ã°Å¸Â¤â. SO, make certain that you SAVE your work everytime you make any changes! The cost to purchase the full version is very reasonable, although, right now, outside my budget Ã°Å¸ËÂ¥!It definitely beats Microsoft Office's Free version! Much easier to use with the menus' organization and configuration. Basically, I LOVE this application Ã°Å¸ââ Ã°Å¸ââ Ã°Å¸âï¿½!!",user_experience
Robert Gilmore,1.0 out of 5 stars,When iPhone app connects strange messages appear,Initially connecting an iPhone using the Screen Mirroring companion App to the Fire Stick Screen Mirroring App the connection works but after a couple of minutes a message appears on the TV that there is an error described as unauthorized use. You can't get rid of that message even when you exit the Fire Stick App. The only way to get rid of the message is to actually reboot the Fire Stick. Although there is nu charge for the Screen Mirroring Fire Stick App I had to pay for the companion iPhone version which turned out to be two different applications from that company. So I have invested money in something that DOES NOT WORK. The company's answer was I had to wait for a new update in their application. They should have refunded my money for the iPhone apps.,issue
Davvid,1.0 out of 5 stars,Other,"I noticed that the app has a privacy policy update, but it’s not very clear about how my data will be used. Also, I couldn’t find any details about whether the app complies with GDPR or other international data protection laws. I usually like to know how my personal information is handled, especially when apps require access to my contacts and location. It would be helpful if the developers provided more transparency on this",other_information
